title,year,type,rating,ratingDate,url,imdb_id,imdb_url,original_title,genre,director,cast,description
Bláznivá střela,2025,film,3,06.09.2025,https://www.csfd.cz/film/1510978-blazniva-strela/,tt3402138,https://www.imdb.com/title/tt3402138/,The Naked Gun,Komedie / Krimi / Akční,Akiva Schaffer,"Liam Neeson, Pamela Anderson, Paul Walter Hauser, Danny Huston, Kevin Durand, CCH Pounder, Liza Koshy, Busta Rhymes","Když chceš být dobrý polda, musíš pít spoustu kafe, jíst mraky kalorických jídel, mluvit na podezřelé co nejdrsnějším hlasem a moc se nepárat s tím, co si myslí tvoji nadřízení."
28 let poté,2025,film,4,05.09.2025,https://www.csfd.cz/film/1481241-28-let-pote/,tt10548174,https://www.imdb.com/title/tt10548174/,28 Years Later,Horor / Sci-Fi / Thriller,Danny Boyle,"Alfie Williams, Jodie Comer, Aaron Taylor-Johnson, Ralph Fiennes, Jack O'Connell, Erin Kellyman, Edvin Ryding, Chi Lewis-Parry","Cenou Akademie® oceněný režisér Danny Boyle a na Cenu Akademie® nominovaný scénárista Alex Garland se znovu setkávají ve filmu 28 let poté, novém děsivém příběhu zasazeném do světa vytvořeného filmem 28 dní poté."
Vetřelec: Země - Nezemě,2025,episode,4,05.09.2025,https://www.csfd.cz/film/1557488-vetrelec-zeme/1557492-nezeme/,tt8788458,https://www.imdb.com/title/tt8788458/,Neverland,Sci-Fi / Horor / Thriller,Noah Hawley,"Sydney Chandler, Alex Lawther, Essie Davis, Samuel Blenkin, Babou Ceesay, Adarsh Gourav, Erana James, Lily Newmark",Po havárii vesmírné lodi na Zemi se sestra vydává hledat svého bratra. (Disney+)
Vetřelec: Země - Mistr October,2025,episode,4,05.09.2025,https://www.csfd.cz/film/1557488-vetrelec-zeme/1557493-mistr-october/,tt6394580,https://www.imdb.com/title/tt6394580/,Mr. October,Sci-Fi / Horor / Thriller,Dana Gonzales,"Sydney Chandler, Alex Lawther, Essie Davis, Samuel Blenkin, Babou Ceesay, Adarsh Gourav, Erana James, Lily Newmark","Napětí mezi korporacemi roste, dochází ke shledání a odhaluje se tajemství. (Disney+)"
Vetřelec: Země - Proměna,2025,episode,4,05.09.2025,https://www.csfd.cz/film/1557488-vetrelec-zeme/1557494-promena/,tt10800758,https://www.imdb.com/title/tt10800758/,Metamorphosis,Sci-Fi / Horor / Thriller,Dana Gonzales,"Sydney Chandler, Alex Lawther, Essie Davis, Samuel Blenkin, Babou Ceesay, Adarsh Gourav, Erana James, Lily Newmark",Tým se vrací s nečekaným nákladem a dochází ke znepokojivému experimentu. (Disney+)
Vetřelec: Země - Pozorování,2025,episode,4,05.09.2025,https://www.csfd.cz/film/1557488-vetrelec-zeme/1557495-pozorovani/,tt35679095,https://www.imdb.com/title/tt35679095/,Observation,Sci-Fi / Horor / Thriller,Ugla Hauksdóttir,"Sydney Chandler, Alex Lawther, Essie Davis, Samuel Blenkin, Babou Ceesay, Adarsh Gourav, Erana James, Lily Newmark","Nečekané přátelství uprostřed zrady, která ohrožuje všechny. (Disney+)"
Vetřelec: Země - Ve vesmíru vás nikdo...,2025,episode,4,05.09.2025,https://www.csfd.cz/film/1557488-vetrelec-zeme/1557496-ve-vesmiru-vas-nikdo/,tt15204522,https://www.imdb.com/title/tt15204522/,"In Space, No One...",Sci-Fi / Horor / Thriller,Noah Hawley,"Samuel Blenkin, Babou Ceesay, Richa Moorjani, Sandra Yi Sencindiver, Amir Boutrous, Karen Aldridge, Michael Smiley, Andy Yu",Vesmírná loď v ohrožení. Posádku čeká těžká zkouška. (Disney+)
Superman,2025,film,3,31.08.2025,https://www.csfd.cz/film/1328563-superman/,tt5950044,https://www.imdb.com/title/tt5950044/,Superman,Akční / Dobrodružný / Sci-Fi / Fantasy,James Gunn,"David Corenswet, Rachel Brosnahan, Nicholas Hoult, Edi Gathegi, Anthony Carrigan, Isabela Merced, Nathan Fillion, Skyler Gisondo","James Gunn se svým osobitým stylem ujme původního superhrdiny v nově přetvořeném univerzu DC a ve strhující směsici epické akce, humoru a emocí představí divákům Supermana plného soucitu a víry v dobro lidstva. (Vertical Entertainment)"
Drahokam,2019,film,4,30.08.2025,https://www.csfd.cz/film/664743-drahokam/,tt5727208,https://www.imdb.com/title/tt5727208/,Uncut Gems,Drama / Thriller / Krimi,Benny Safdie,"Adam Sandler, Lakeith Stanfield, Idina Menzel, Julia Fox, Kevin Garnett, Keith Williams Richards, Eric Bogosian, Judd Hirsch","Zatímco se mu kupí dluhy a naštvaní výběrčí jsou mu v patách, riskuje tenhle výřečný klenotník z New Yorku všechno a doufá, že se tak udrží nad vodou a naživu. (Netflix)"
Colectiv,2019,film,4,30.08.2025,https://www.csfd.cz/film/764858-colectiv/,,,Kolektiv (festivalový název),Dokumentární,Alexander Nanau,Kyan Bayani,"V roce 2015 si požár v bukurešťském klubu Colectiv vyžádal 27 mrtvých a 180 zraněných. Záhy na to začnou v nemocnicích umírat další popálené oběti na zranění, která nebyla považována za život ohrožující."
